Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1670629715,0,1,-17,17,0.746,12,40,1,0.547,0,2.6,23,290,23,0
1670629716,0,1,-17,17,4.1,11,40,1,0.446,0,2.6,23,304,23,0
1670629717,0,1,-17,17,-5.1,11,40,1,0.444,0,2.6,23,325,23,0
1670629718,0,1,-17,17,5.7,11,40,1,0.449,0,2.6,23,333,23,0
1670629719,0,1,-17,17,8.4,11,40,1,0.452,0,2.6,23,333,23,0
1670629720,0,1,-17,17,2.6,11,40,1,0.452,0,2.6,23,336,23,0
1670629721,0,1,-17,17,7.7,11,40,1,0.454,0,2.6,23,338,22,0
1670629722,0,1,-17,17,-2.7,11,40,1,0.451,0,2.6,23,345,23,0
1670629723,0,1,-17,17,7.9,11,40,1,0.44,0,2.6,23,363,23,0
1670629724,0,1,-17,17,-0.433,11,40,1,0.444,0,2.6,23,385,23,0
1670629725,0,1,-17,17,10,15,40,1,0.807,0,2.6,23,326,23,0
1670629726,0,1,-17,17,11,20,40,1,1.4,0,2.6,23,283,23,0
1670629727,0,1,-17,17,10,12,40,1,0.5,0,2.6,23,196,23,0
1670629728,0,1,-17,17,0.717,11,40,1,0.446,0,2.6,23,213,23,0
1670629729,0,1,-17,17,1.8,11,40,1,0.45,0,2.6,23,228,23,0
1670629730,0,1,-17,17,-3.6,11,40,1,0.446,0,2.6,23,234,23,0
1670629731,0,1,-17,17,-7.3,11,40,1,0.446,0,2.6,23,237,23,0
1670629732,0,1,-17,17,5.5,11,40,1,0.451,0,2.6,23,234,23,0
1670629733,0,1,-17,17,8,11,40,1,0.454,0,2.6,23,239,23,0
1670629734,0,1,-17,17,0.0065,11,40,1,0.444,0,2.6,23,246,23,0
1670629735,0,1,-17,17,3.9,11,40,1,0.451,0,2.6,23,260,23,0
1670629736,0,1,-17,17,-5.9,11,40,1,0.448,0,2.6,23,291,23,0
1670629737,0,1,-17,17,6.1,11,40,1,0.449,0,2.6,23,337,23,0
1670629738,0,1,-17,17,8.4,11,40,1,0.445,0,2.6,23,386,23,0
