Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1669916159,4,491,492,0,0,0,0.00141
1669916160,4,492,493,0,0,0,0.00141
1669916161,4,493,494,0,0,0,0.00141
1669916162,4,494,495,0,0,0,0.00141
1669916163,4,495,496,0,0,0,0.00141
1669916164,4,496,497,0,0,0,0.00141
1669916165,4,497,498,0,0,0,0.00141
1669916166,4,498,499,0,0,0,0.00141
1669916167,4,499,500,0,0,0,0.00141
1669916168,4,500,501,0,0,0,0.00141
1669916169,4,501,502,0,0,0,0.00141
1669916170,4,502,503,0,0,0,0.00141
1669916171,4,503,504,0,0,0,0.00141
1669916172,4,504,505,0,0,0,0.00141
1669916173,4,505,506,0,0,0,0.00141
1669916174,4,506,507,0,0,0,0.00141
1669916175,4,507,508,0,0,0,0.00141
1669916176,4,508,509,0,0,0,0.00141
1669916177,4,509,510,0,0,0,0.00141
1669916178,4,510,511,0,0,0,0.00141
1669916179,4,511,512,0,0,0,0.00141
1669916180,4,512,513,0,0,0,0.00141
1669916181,4,513,514,0,0,0,0.00141
1669916182,4,514,515,0,0,0,0.00141
1669916183,4,515,516,0,0,0,0.00141
1669916184,4,516,517,0,0,0,0.00141
1669916185,4,517,518,0,0,0,0.00141
1669916186,4,518,519,0,0,0,0.00141
1669916187,4,519,520,0,0,0,0.00141
1669916188,4,520,521,0,0,0,0.00141
1669916189,4,521,522,0,0,0,0.00141
1669916190,4,522,523,0,0,0,0.00141
1669916191,4,523,524,0,0,0,0.00141
1669916192,4,524,525,0,0,1,0.00141
1669916193,4,525,526,0,0,0,0.00141
1669916194,4,526,527,0,0,0,0.00141
1669916195,4,527,528,0,0,0,0.00141
1669916196,4,528,529,0,0,0,0.00141
1669916197,4,529,530,0,0,0,0.00141
1669916198,4,530,531,0,0,0,0.00141
1669916199,4,531,532,0,0,0,0.00141
1669916200,4,532,533,0,0,0,0.00141
1669916201,4,533,534,0,0,0,0.00141
