Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1669916464,5,796,797,0,0
1669916465,5,797,798,0,0
1669916466,5,798,799,0,0
1669916467,5,799,800,0,0
1669916468,5,800,801,0,0
1669916469,5,801,802,0,0
1669916470,5,802,803,0,0
1669916471,5,803,804,0,0
1669916472,5,804,805,0,0
1669916473,5,805,806,0,0
1669916474,5,806,807,0,0
1669916475,5,807,808,0,0
1669916476,5,808,809,0,0
1669916477,5,809,810,0,0
1669916478,5,810,811,0,0
1669916479,5,811,812,0,0
1669916480,5,812,813,0,0
1669916481,5,813,814,0,0
1669916482,5,814,815,0,0
1669916483,5,815,816,0,0
1669916484,5,816,817,0.00141,0.0116
1669916485,5,817,818,0.00141,0.0116
1669916486,5,818,819,0.00141,0.0116
1669916487,5,819,820,0,0
1669916488,5,820,821,0.00141,0.0116
1669916489,5,821,822,0.00141,0.0116
1669916490,5,822,823,0,0
1669916491,5,823,824,0.00141,0.0116
1669916492,5,824,825,0.00141,0.0116
1669916493,5,825,826,0.00141,0.0116
1669916494,5,826,827,0.00141,0.0116
1669916495,5,827,828,0.00141,0.0116
1669916496,5,828,829,0.00141,0.0116
1669916497,5,829,830,0.00141,0.0116
1669916498,5,830,831,0.00141,0.0116
1669916499,5,831,832,0.00141,0.0116
1669916500,5,832,833,0.00141,0.0116
1669916501,5,833,834,0.00141,0.0116
1669916502,5,834,835,0.00141,0.0116
1669916503,5,835,836,0.00141,0.0116
1669916504,5,836,837,0.00141,0.0116
1669916505,5,837,838,0.00283,0.0232
1669916506,5,838,839,0.00141,0.0116
1669916507,5,839,840,0.00141,0.0116
1669916508,5,840,841,0.00141,0.0116
1669916509,5,841,842,0.00141,0.0116
1669916510,5,842,843,0.00283,0.0232
1669916511,5,843,844,0.00141,0.0116
1669916512,5,844,845,0.00141,0.0116
1669916513,5,845,846,0.00283,0.0232
1669916514,5,846,847,0.00141,0.0116
1669916515,5,847,848,0.00141,0.0116
1669916516,5,848,849,0.00283,0.0232
1669916517,5,849,850,0.00141,0.0116
1669916518,5,850,851,0.00141,0.0116
1669916519,5,851,852,0.00141,0.0116
1669916520,5,852,853,0.00283,0.0232
1669916521,5,853,854,0.00141,0.0116
1669916522,5,854,855,0.00141,0.0116
1669916523,5,855,856,0.00424,0.0348
1669916524,5,856,857,0.00707,0.0579
1669916525,5,857,858,0,0
1669916526,5,858,859,0,0
1669916527,5,859,860,0.00141,0.0116
1669916528,5,860,861,0,0
1669916529,5,861,862,0.00566,0.0464
1669916530,5,862,863,0.00141,0.0116
1669916531,5,863,864,0.00283,0.0232
1669916532,5,864,865,0,0
1669916533,5,865,866,0.00141,0.0116
1669916534,5,866,867,0.00424,0.0348
1669916535,5,867,868,0.00424,0.0347
1669916536,5,868,869,0,0
1669916537,5,869,870,0.00141,0.0116
1669916538,5,870,871,0,0
1669916539,5,871,872,0,0
1669916540,5,872,873,0,0
1669916541,5,873,874,0,0
1669916542,5,874,875,0,0
1669916543,5,875,876,0,0
1669916544,5,876,877,0,0
1669916545,5,877,878,0,0
1669916546,5,878,879,0,0
1669916547,5,879,880,0,0
1669916548,5,880,881,0,0
1669916549,5,881,882,0,0
1669916550,5,882,883,0,0
1669916551,5,883,884,0,0
1669916552,5,884,885,0,0
1669916553,5,885,886,0,0
1669916554,5,886,887,0,0
1669916555,5,887,888,0,0
1669916556,5,888,889,0,0
1669916557,5,889,890,0,0
1669916558,5,890,891,0,0
1669916559,5,891,892,0,0
1669916560,5,892,893,0.00141,0.0116
1669916561,5,893,894,0.0099,0.0811
1669916562,5,894,895,0,0
1669916563,5,895,896,0,0
1669916564,5,896,897,0.0099,0.0811
1669916565,5,897,898,0.00566,0.0463
1669916566,5,898,899,0.00848,0.0696
1669916567,5,899,900,0.00848,0.0695
1669916568,5,900,901,0.00424,0.0347
1669916569,5,901,902,0.00283,0.0232
1669916570,5,902,903,0.00141,0.0116
1669916571,5,903,904,0.00141,0.0116
1669916572,5,904,905,0.00707,0.0579
1669916573,5,905,906,0.00141,0.0116
1669916574,5,906,907,0.0099,0.0811
1669916575,5,907,908,0.00566,0.0463
1669916576,5,908,909,0.0198,0.162
1669916577,5,909,910,0.0156,0.127
1669916578,5,910,911,0.00848,0.0695
1669916579,5,911,912,0.017,0.139
1669916580,5,912,913,0.0184,0.151
1669916581,5,913,914,0.00848,0.0695
1669916582,5,914,915,0,0
1669916583,5,915,916,0.00848,0.0695
1669916584,5,916,917,0.00141,0.0116
1669916585,5,917,918,0.00283,0.0232
1669916586,5,918,919,0.00141,0.0116
1669916587,5,919,920,0.00424,0.0348
1669916588,5,920,921,0,0
1669916589,5,921,922,0.00566,0.0463
1669916590,5,922,923,0,0
1669916591,5,923,924,0.00141,0.0116
1669916592,5,924,925,0,0
1669916593,5,925,926,0.00283,0.0232
1669916594,5,926,927,0.00848,0.0696
1669916595,5,927,928,0.00566,0.0463
1669916596,5,928,929,0,0
1669916597,5,929,930,0.00424,0.0347
1669916598,5,930,931,0,0
1669916599,5,931,932,0,0
1669916600,5,932,933,0.00848,0.0696
1669916601,5,933,934,0,0
1669916602,5,934,935,0.00141,0.0116
1669916603,5,935,936,0.00141,0.0116
1669916604,5,936,937,0,0
1669916605,5,937,938,0.00141,0.0116
1669916606,5,938,939,0.00141,0.0116
1669916607,5,939,940,0.00424,0.0348
1669916608,5,940,941,0,0
1669916609,5,941,942,0.00141,0.0116
1669916610,5,942,943,0,0
1669916611,5,943,944,0.00707,0.058
1669916612,5,944,945,0,0
1669916613,5,945,946,0.00141,0.0116
1669916614,5,946,947,0.00424,0.0348
1669916615,5,947,948,0.00141,0.0116
1669916616,5,948,949,0.00141,0.0116
1669916617,5,949,950,0.00141,0.0116
1669916618,5,950,951,0,0
1669916619,5,951,952,0.00141,0.0116
1669916620,5,952,953,0.00141,0.0116
1669916621,5,953,954,0.00283,0.0232
1669916622,5,954,955,0.00141,0.0116
1669916623,5,955,956,0.00141,0.0116
1669916624,5,956,957,0.00141,0.0116
1669916625,5,957,958,0.00141,0.0116
1669916626,5,958,959,0.00141,0.0116
1669916627,5,959,960,0.00141,0.0116
1669916628,5,960,961,0.00283,0.0232
1669916629,5,961,962,0.00141,0.0116
1669916630,5,962,963,0.00141,0.0116
1669916631,5,963,964,0.00141,0.0116
